id,composite,subject_area,entity,attribute,type
25567,BASIC,Account Overall,Account,Accessible Matured Amount,Amount
25670,BASIC,Account Overall,Account,Accessible New Funding Amount,Amount
25722,BASIC,Account Overall,Account,Accessible Original Maturity Day Count,Count
25738,BASIC,Account Overall,Account,Accessible Original Maturity Month Count,Count
25619,BASIC,Account Overall,Account,Accessible Rolled Over Amount,Amount
55161,COMPOSITE,Account Overall,Account,Account Accessibility Credit Amount,Multi Currency 3
18403,COMPONENT,Account Overall,Account,Account Accessibility Credit Amount.Group Reporting Currency,Amount
18405,COMPONENT,Account Overall,Account,Account Accessibility Credit Amount.Local Reporting Currency,Amount
18404,COMPONENT,Account Overall,Account,Account Accessibility Credit Amount.Transaction Currency,Amount
25232,REFERENCE,Account Overall,Account,Account Basel III Customer Type Classification Reference,Reference
12911,BASIC,Account Overall,Account,Account Blocked Indicator,Indicator
12913,BASIC,Account Overall,Account,Account Close Date,Date
12914,BASIC,Account Overall,Account,Account Closed Indicator,Indicator
57677,BASIC,Account Overall,Account,Account Closure Reason Code,Code
12551,REFERENCE,Account Overall,Account,Account Company Code Unit Reference,Reference
11490,REFERENCE,Account Overall,Account,Account Currency Reference,Reference
61594,BASIC,Account Overall,Account,Account GBIX Code,Code
4427,BASIC,Account Overall,Account,Account Holder Count,Count
33001,BASIC,Account Overall,Account,Account Name,Name
58194,BASIC,Account Overall,Account,Account Nickname,Name
26057,BASIC,Account Overall,Account,Account Number,Identifier Num
11445,BASIC,Account Overall,Account,Account Open Date,Date
31446,REFERENCE,Account Overall,Account,Account Provider Reference,Reference
59662,BASIC,Account Overall,Account,Account Status Code,Code
12920,BASIC,Account Overall,Account,Account Suboffice Code,Identifier Num
12921,BASIC,Account Overall,Account,Accrual Basis Code,Code
55119,COMPOSITE,Account Overall,Account,Accrued Fee Amount,Multi Currency 3
18633,COMPONENT,Account Overall,Account,Accrued Fee Amount.Group Reporting Currency,Amount
18632,COMPONENT,Account Overall,Account,Accrued Fee Amount.Local Reporting Currency,Amount
18631,COMPONENT,Account Overall,Account,Accrued Fee Amount.Transaction Currency,Amount
55187,COMPOSITE,Account Overall,Account,Average Cleared Balance,Multi Currency 3
25011,COMPONENT,Account Overall,Account,Average Cleared Balance.Group Reporting Currency,Amount
25029,COMPONENT,Account Overall,Account,Average Cleared Balance.Local Reporting Currency,Amount
25047,COMPONENT,Account Overall,Account,Average Cleared Balance.Transaction Currency,Amount
54541,COMPOSITE,Account Overall,Account,Average Cleared Credit Balance,Multi Currency 3
12333,COMPONENT,Account Overall,Account,Average Cleared Credit Balance.Group Reporting Currency,Amount
12331,COMPONENT,Account Overall,Account,Average Cleared Credit Balance.Local Reporting Currency,Amount
12332,COMPONENT,Account Overall,Account,Average Cleared Credit Balance.Transaction Currency,Amount
54796,COMPOSITE,Account Overall,Account,Average Cleared Debit Balance,Multi Currency 3
21728,COMPONENT,Account Overall,Account,Average Cleared Debit Balance.Group Reporting Currency,Amount
21691,COMPONENT,Account Overall,Account,Average Cleared Debit Balance.Local Reporting Currency,Amount
21709,COMPONENT,Account Overall,Account,Average Cleared Debit Balance.Transaction Currency,Amount
12923,BASIC,Account Overall,Account,Average Margin Rate,Rate
51228,BASIC,Account Overall,Account,Bank Branded Indicator,Indicator
60646,BASIC,Account Overall,Account,Basel Approach Code,Code
