ID,data_field,Data Set,data_structure,Data Type,Length
14485,AACCNO,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
14486,ABOOK,SCI_TRBK 2015-09-16,SI_TRBK_SHRADD,,0
7576,AC_NO,SCI_BKKG 2015-07-10 V2,SI_BKKG_CREDIT_RATE_HISTORY,,0
9179,AC_NO,SCI_BKKG 2015-07-10 V2,SI_BKKG_INSTRUCTIONS_ACCOUNT,,0
7788,AC_NO,SCI_BKKG 2015-07-10 V2,SI_BKKG_DEBIT_RATE_HISTORY,,0
13449,ACC_NUM_SCV_ID_LNK_RET_AC,SCI_PBDW 2015-09-10,SI_PBDW_BI_SCV_MERGE,,0
9724,ACC_NUMBER,SCI_BKKG 2015-07-10 V2,SI_BKKG_STATHIST,,0
10659,ACCEPTABLE_APPLICANT,SCI_CLML 2015-03-18,SI_CLML_CUSTOMERS,,0
19448,ACCEPTABLE_APPLICANT,SCI_TRML 2015-07-10 V3,SI_CLML_CUSTOMERS,,0
17703,Accessible Contractual Maturity Day Count,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,INTEGER,0
19868,Accessible Contractual Maturity Day Count,Access Layer,Account Liquidity Deposit Daily Fact,INTEGER,0
17705,Accessible Contractual Maturity Month Count,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,INTEGER,0
19869,Accessible Contractual Maturity Month Count,Access Layer,Account Liquidity Deposit Daily Fact,INTEGER,0
17649,Accessible Matured Amount,CAL170830 Logical Name,Account General Daily Fact,DECIMAL,23
19674,Accessible Matured Amount,Access Layer,Account General Daily Fact,DECIMAL,23
17651,Accessible New Funding Amount,CAL170830 Logical Name,Account General Daily Fact,DECIMAL,23
19675,Accessible New Funding Amount,Access Layer,Account General Daily Fact,DECIMAL,23
17650,Accessible Rolled Over Amount,CAL170830 Logical Name,Account General Daily Fact,DECIMAL,23
19676,Accessible Rolled Over Amount,Access Layer,Account General Daily Fact,DECIMAL,23
6131,ACCNUM,SCI_ALUK 2015-09-21,SI_ALUK_PEDT003,,0
4048,ACCNUM,SCI_ALNI 2015-09-21,SI_ALNI_PEDT003,,0
5267,ACCNUM,SCI_ALPO 2015-09-21,SI_ALPO_PEDT003,,0
17669,Account Accessibility Credit Amount,CAL170830 Logical Name,Account Liquidity Deposit Daily Fact,DECIMAL,23
19870,Account Accessibility Credit Amount,Access Layer,Account Liquidity Deposit Daily Fact,DECIMAL,23
17743,Account Basel III Customer Type Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
22411,Account Basel III Customer Type Identifier,Access Layer,TDS Cash Flow Rolling 65 Day,INTEGER,0
22931,Account Basel III Customer Type Identifier,Access Layer,TDS NSFR Rolling 65 Day,INTEGER,0
22869,Account Basel III Customer Type Identifier,Access Layer,TDS NSFR Latest Day,INTEGER,0
22986,Account Basel III Customer Type Identifier,Access Layer,TDS Treasury Balance Rolling 3 Year,INTEGER,0
23100,Account Basel III Customer Type Identifier,Access Layer,TRP Liquidity Deposits Rolling 13 Month,INTEGER,0
19720,Account Basel III Customer Type Identifier,Access Layer,Account General Dimension,INTEGER,0
22480,Account Basel III Customer Type Identifier,Access Layer,TDS Deposits Latest Day,INTEGER,0
22619,Account Basel III Customer Type Identifier,Access Layer,TDS Deposits Rolling 65 Day,INTEGER,0
23164,Account Basel III Customer Type Identifier,Access Layer,TRP NSFR Overview Rolling 13 Month,INTEGER,0
17721,Account Blocked Indicator,CAL170830 Logical Name,Account General Dimension,CHAR,3
22412,Account Blocked Indicator,Access Layer,TDS Cash Flow Rolling 65 Day,CHAR,3
22802,Account Blocked Indicator,Access Layer,TDS LCR Rolling 65 Day,CHAR,3
22870,Account Blocked Indicator,Access Layer,TDS NSFR Latest Day,CHAR,3
22932,Account Blocked Indicator,Access Layer,TDS NSFR Rolling 65 Day,CHAR,3
22725,Account Blocked Indicator,Access Layer,TDS LCR Latest Day,CHAR,3
19721,Account Blocked Indicator,Access Layer,Account General Dimension,CHAR,3
22481,Account Blocked Indicator,Access Layer,TDS Deposits Latest Day,CHAR,3
22341,Account Blocked Indicator,Access Layer,TDS Cash Flow Latest Day,CHAR,3
17587,Account Blocked Reason Code,CAL170830 Logical Name,Account Blocked Reason Type Refdimension,VARCHAR,50
19646,Account Blocked Reason Code,Access Layer,Account Blocked Reason Type Refdimension,VARCHAR,50
17586,Account Blocked Reason Description,CAL170830 Logical Name,Account Blocked Reason Type Refdimension,VARCHAR,250
19647,Account Blocked Reason Description,Access Layer,Account Blocked Reason Type Refdimension,VARCHAR,250
17584,Account Blocked Reason Identifier,CAL170830 Logical Name,Account Blocked Reason Type Refdimension,INTEGER,0
17756,Account Blocked Reason Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
19722,Account Blocked Reason Identifier,Access Layer,Account General Dimension,INTEGER,0
19648,Account Blocked Reason Identifier,Access Layer,Account Blocked Reason Type Refdimension,INTEGER,0
17585,Account Blocked Reason Label,CAL170830 Logical Name,Account Blocked Reason Type Refdimension,VARCHAR,100
19649,Account Blocked Reason Label,Access Layer,Account Blocked Reason Type Refdimension,VARCHAR,100
17599,Account Blocked Type Code,CAL170830 Logical Name,Account Blocked Type Refdimension,VARCHAR,50
19660,Account Blocked Type Code,Access Layer,Account Blocked Type Refdimension,VARCHAR,50
17601,Account Blocked Type Description,CAL170830 Logical Name,Account Blocked Type Refdimension,VARCHAR,250
19661,Account Blocked Type Description,Access Layer,Account Blocked Type Refdimension,VARCHAR,250
17598,Account Blocked Type Identifier,CAL170830 Logical Name,Account Blocked Type Refdimension,INTEGER,0
17757,Account Blocked Type Identifier,CAL170830 Logical Name,Account General Dimension,INTEGER,0
19662,Account Blocked Type Identifier,Access Layer,Account Blocked Type Refdimension,INTEGER,0
19723,Account Blocked Type Identifier,Access Layer,Account General Dimension,INTEGER,0
17600,Account Blocked Type Label,CAL170830 Logical Name,Account Blocked Type Refdimension,VARCHAR,100
19663,Account Blocked Type Label,Access Layer,Account Blocked Type Refdimension,VARCHAR,100
17723,Account Close Datetime,CAL170830 Logical Name,Account General Dimension,TIMESTAMP,0
19724,Account Close Datetime,Access Layer,Account General Dimension,TIMESTAMP,0
23101,Account Close Datetime,Access Layer,TRP Liquidity Deposits Rolling 13 Month,TIMESTAMP,0
17771,Account Closed Indicator,CAL170830 Logical Name,Account General Dimension,CHAR,3
22803,Account Closed Indicator,Access Layer,TDS LCR Rolling 65 Day,CHAR,3
22871,Account Closed Indicator,Access Layer,TDS NSFR Latest Day,CHAR,3
22933,Account Closed Indicator,Access Layer,TDS NSFR Rolling 65 Day,CHAR,3
22726,Account Closed Indicator,Access Layer,TDS LCR Latest Day,CHAR,3
19725,Account Closed Indicator,Access Layer,Account General Dimension,CHAR,3
