id,composite,subject_area,entity,attribute,type
40900,BASIC,Account,Card Measurements,3D secure flag,Flag
5679,BASIC,Account,Card type,3D secure flag,Flag
5680,BASIC,Account,Clasic card product,3D secure flag,Flag
5681,BASIC,Account,Prepaid card product,3D secure flag,Flag
38839,COMPOSITE,Organisation,Employee Absence,Absence Category,Referencial LOV
38928,COMPOSITE,Nomenclatory,Nomenclatory,Absence Category,Referencial LOV
38841,COMPONENT,Organisation,Employee Absence,Absence Category.Code,Text
38930,COMPONENT,Nomenclatory,Nomenclatory,Absence Category.Code,Text
38840,COMPONENT,Organisation,Employee Absence,Absence Category.Description,Text
38929,COMPONENT,Nomenclatory,Nomenclatory,Absence Category.Description,Text
39203,COMPOSITE,Organisation,Employee Absence,Absence Status,Referencial LOV
39200,COMPOSITE,Nomenclatory,Nomenclatory,Absence Status,Referencial LOV
39204,COMPONENT,Organisation,Employee Absence,Absence Status.Code,Text
39201,COMPONENT,Nomenclatory,Nomenclatory,Absence Status.Code,Text
39205,COMPONENT,Organisation,Employee Absence,Absence Status.Description,Text
39202,COMPONENT,Nomenclatory,Nomenclatory,Absence Status.Description,Text
38836,COMPOSITE,Organisation,Employee Absence,Absence Type,Referencial LOV
38931,COMPOSITE,Nomenclatory,Nomenclatory,Absence Type,Referencial LOV
38837,COMPONENT,Organisation,Employee Absence,Absence Type.Code,Text
38932,COMPONENT,Nomenclatory,Nomenclatory,Absence Type.Code,Text
38838,COMPONENT,Organisation,Employee Absence,Absence Type.Description,Text
38933,COMPONENT,Nomenclatory,Nomenclatory,Absence Type.Description,Text
12725,BASIC,Party,Unified Customer Default DPD event,Absolute Treshold of materiality,Numeric
5797,BASIC,Account,Cash Flow Loans Account,Account Alternative identifier,Text
5238,BASIC,Account,Credit Card Account,Account Alternative identifier,Text
10983,BASIC,Account,Individual Loan Account,Account Alternative identifier,Text
13142,BASIC,Account,Legal Loan Account,Account Alternative identifier,Text
26091,BASIC,Account,Letter of Credit,Account Alternative identifier,Text
5183,BASIC,Account,Loan Account,Account Alternative identifier,Text
5798,BASIC,Account,Cash Flow Loans Account,Account Alternative identifier Issuer,Text
5240,BASIC,Account,Credit Card Account,Account Alternative identifier Issuer,Text
10982,BASIC,Account,Individual Loan Account,Account Alternative identifier Issuer,Text
13141,BASIC,Account,Legal Loan Account,Account Alternative identifier Issuer,Text
26090,BASIC,Account,Letter of Credit,Account Alternative identifier Issuer,Text
5184,BASIC,Account,Loan Account,Account Alternative identifier Issuer,Text
38256,REFERENCE,Account,Account Closing Event,Account Closing Event Identifier,Reference
4504,COMPOSITE,Interest,Contractual Interest,Account Component,Referencial LOV
4602,COMPOSITE,Interest,Current Interest,Account Component,Referencial LOV
6271,COMPOSITE,Nomenclatory,Nomenclatory,Account Component,Referencial LOV
4505,COMPONENT,Interest,Contractual Interest,Account Component.Code,Text
4603,COMPONENT,Interest,Current Interest,Account Component.Code,Text
6272,COMPONENT,Nomenclatory,Nomenclatory,Account Component.Code,Text
4506,COMPONENT,Interest,Contractual Interest,Account Component.Description,Text
4604,COMPONENT,Interest,Current Interest,Account Component.Description,Text
6273,COMPONENT,Nomenclatory,Nomenclatory,Account Component.Description,Text
39225,COMPOSITE,Party,Account Delegate person,Account Delegate Person Permission,Referencial LOV
39256,COMPOSITE,Nomenclatory,Nomenclatory,Account Delegate Person Permission,Referencial LOV
39226,COMPONENT,Party,Account Delegate person,Account Delegate Person Permission.Code,Text
39258,COMPONENT,Nomenclatory,Nomenclatory,Account Delegate Person Permission.Code,Text
39227,COMPONENT,Party,Account Delegate person,Account Delegate Person Permission.Description,Text
39257,COMPONENT,Nomenclatory,Nomenclatory,Account Delegate Person Permission.Description,Text
38208,REFERENCE,Account,Account Closing Event,Account Event Identifier,Reference
37280,REFERENCE,Account,Account Commercial Activation Event,Account Event Identifier,Reference
36998,REFERENCE,Account,Account Event,Account Event Identifier,Reference
37003,REFERENCE,Account,Account Lifetime Event,Account Event Identifier,Reference
37000,REFERENCE,Account,Account Relations Event,Account Event Identifier,Reference
36999,REFERENCE,Account,Account Risk monitoring Event,Account Event Identifier,Reference
37077,REFERENCE,Account,Account Setup (Opening) Event,Account Event Identifier,Reference
37006,REFERENCE,Event,Account Stage 1 Contaminated event,Account Event Identifier,Reference
37021,REFERENCE,Event,Account Stage 1 event,Account Event Identifier,Reference
37009,REFERENCE,Event,Account Stage 2 Contaminated event,Account Event Identifier,Reference
37014,REFERENCE,Event,Account Stage 2 event,Account Event Identifier,Reference
37001,REFERENCE,Event,Account stage event,Account Event Identifier,Reference
37054,REFERENCE,Account,Credit Limit Increase Event,Account Event Identifier,Reference
37132,REFERENCE,Account,Credit Limit Renewal Event,Account Event Identifier,Reference
37004,REFERENCE,Account,Credit Line Renewal Event,Account Event Identifier,Reference
37026,REFERENCE,Event,Disbursment,Account Event Identifier,Reference
38361,REFERENCE,Account,External Refinancing Event,Account Event Identifier,Reference
37018,REFERENCE,Event,First disbursement event,Account Event Identifier,Reference
37099,REFERENCE,Event,First grace period on a continuous time interval for loans Event,Account Event Identifier,Reference
37109,REFERENCE,Event,Forfeiture of guarantee letters Event,Account Event Identifier,Reference
37008,REFERENCE,Event,Interest computation Freezing event,Account Event Identifier,Reference
38382,REFERENCE,Account,Internal Refinancing Event,Account Event Identifier,Reference
38404,REFERENCE,Account,Mixed Refinancing Event,Account Event Identifier,Reference
37117,REFERENCE,Account,New Account Sale Event,Account Event Identifier,Reference
38254,REFERENCE,Account,Overdraft Closing Event,Account Event Identifier,Reference
37124,REFERENCE,Account,Overdraft New Sale Event,Account Event Identifier,Reference
37090,REFERENCE,Account,Overdraft Setup (Opening) Event,Account Event Identifier,Reference
37033,REFERENCE,Event,PD Variation event,Account Event Identifier,Reference
37007,REFERENCE,Event,"Pay in kind event, with risk code Pay in kind (DP)",Account Event Identifier,Reference
37011,REFERENCE,Event,"Pay in kind event, with risk code Stop Pay in kind (SDP)",Account Event Identifier,Reference
37005,REFERENCE,Event,"Pay in kind event, with risk code Transmitted Pay in kind notification (TDP)",Account Event Identifier,Reference
37002,REFERENCE,Event,"Pay in kind, with risk code Refusal in Pay in kind (RDP)",Account Event Identifier,Reference
37066,REFERENCE,Event,Production Event,Account Event Identifier,Reference
